%Base de treino em portugues para linguagem natural		
@relation baseTreino			
			
%Atributos da base			
@attribute commentMessage string			
@attribute class {positiva, negativa, neutra}			
			
%dados obtidos			
@data		
'verdad',positiva
'unic poli propin',neutra
'republ carn papela',neutra
'cyb crim compens vari aspect lei frac inefici com malandr presidi',neutra
'lot cemiteri',negativa
'exat',positiva
'cemiteri prejuiz',negativa
'pen mort cl baix val',negativa
'crim compens vir crimin kkk moh pi entr favel vir carcerari brasil assist daten sof aconcheg ar condicion tv led bonit concluso total dist',neutra
'opco desalot cemiteri enterr pe cremaca',negativa
'pen mort func pobr cl max',negativa
'man lot cemiteri corp doa univers medicinapr aul orga doaca rest queim ger energ termica cri adub',negativa
'sandr mott desculp hav pen mort mat estupr',negativa
'pen mort crim hedi resolv pres crim hedi minor',negativa
'so falt inclu trafic drog',negativa
'boa inici',positiva
'pen mort crim extint decisa onu 2010 map violenc mund alert criminal control necessari construca presidi',negativa
'mimim favel pobr pen mort resolv roub mat mort volt comet crimeclar resolv',negativa
'vi femin acus estupr tchau man',negativa
'menos populaca carcer pres assassinat mat lo esvazi muit',negativa
'populaca carcer trafic baix nivel',neutra
'esper fotograf',neutra
'concord',positiva
'concord',positiva
'incri 2017 argument pens mat complic entend func criminal brasil favor',negativa
'moral perfeit err confund err assassinat estupr pedofil dev receb pen mortepont',negativa
'noj',negativa
'olh superlotaca sei diminu tant gost sab apresent font tip ajud afirmaca diminuica tax criminal',neutra
'tom lik',positiva
'pres',neutra
'poli desvi contribuint pen mort prisa perpetu',negativa
'esquec traf drog corrupca',negativa
'concord',positiva
'cont continu tend populaca carcer tend pen mort sorr',negativa
'leo med profila economiz deix presidi melhor jeit unic tem mort',negativa
'laur populaca carcer chin russ log pen mort rel dad',negativa
'muit pres segu criminalizaca drog prend dezen milh pequen trafic usuari ach resolv algum drog publ seguranc publ',neutra
'pen mort dar cert que mat discut cham pv',negativa
'terc popul mund log entendi populaca carcer por assassinat roub estupr men exist pen mort populaca men',negativa
'jos jr concord contig',positiva
'boa antoni lembr adot pen mort',neutra
'lar breschigliar questa adot pen mort populaca americ terceiraraciocini tamanh populaca chin 1bi habitantes5 brasil giganteobvi populaca carcer lasimpl questa proporca',negativa
'vdd amig insist caus consequenc falaciosaolh dad populaca carcer absolut proporcional716 detent 100 habit 274sa dess defend pont vist falac eh quer us ment mat eh melhor inform',neutra
'lend comentariosfacil detect achometr coment bas nenhum simples ach fei pass vergonh',negativa
'pen mort assassinat total just 20 cade traz famil vit',negativa
'jog napalm presidi mat retir cade dev pensa napalm dentr kkkkkkmim',neutra
'gal esquec compar est unid amer compar crim solucion populaca carcer men pouc crim solucionadosmat som australi zeland europ can chin nort afric turqu arab saudit ira junt impun tremendacrim solucion teri duvid populaca carcer',neutra
'concord bolsonaro2018',positiva
'escravida proib sen',negativa
'voc bas fal numer apresent ach',neutra
'juli tom deu nuncavocepass fat algu ent quer chanc defend pass dor milh estupr min chanc defend dad apresentocontrari pass assimvoceach continu jeito sinc sei diz',negativa
'maior pres traf drog crim patrimoni 40julg resolv propost inconstituc dev clausul petre proib tip punica',negativa
'ana cl nogu trat propriedad hav escravida pisc',neutra
'tant med anticonstituc pass emend',neutra
'nenhum parent detent ex detent fic imagin dor famili sab sang corr mortediz famil far alg terri boa parent crimin jamal imagin cois tip',negativa
'fic espant declaraco psicopat lei post facebookfalac leiosort sei pouc empat chei odi desinform exist dao esperanc human',negativa
'otavi celan dor famil vit exchampinhamoc 7 estupr matarampergunt famili vit ach',negativa
'pod trabalh lei penal permit acomodaca sauda',neutra
'pen mort adiantaserv acarici ced sanguepesquis feit pratic pen mort indic crim diminuemaument grav crimesentend ne',negativa
